ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001628,0.000003,-394.312289,1thread_viterbi
100,1000,0.016866,0.000031,-3943.122885,1thread_viterbi
100,2000,0.033502,0.000065,-7886.245771,1thread_viterbi
100,3000,0.049938,0.000068,-11829.368656,1thread_viterbi
100,4000,0.066485,0.000089,-15772.491542,1thread_viterbi
100,5000,0.083494,0.000110,-19715.614427,1thread_viterbi
100,6000,0.098819,0.000115,-23658.737313,1thread_viterbi
100,7000,0.116784,0.000164,-27601.860198,1thread_viterbi
100,8000,0.133661,0.000152,-31544.983084,1thread_viterbi
100,9000,0.148614,0.000174,-35488.105969,1thread_viterbi
100,10000,0.163799,0.000188,-39431.228855,1thread_viterbi
500,100,0.008751,0.000001,-1681.862618,1thread_viterbi
500,1000,0.086334,0.000011,-16818.626185,1thread_viterbi
500,2000,0.174555,0.000171,-33637.252370,1thread_viterbi
500,3000,0.254908,0.000143,-50455.878555,1thread_viterbi
500,4000,0.347438,0.000531,-67274.504740,1thread_viterbi
500,5000,0.426364,0.000468,-84093.130925,1thread_viterbi
500,6000,0.516942,0.000594,-100911.757110,1thread_viterbi
500,7000,0.598696,0.000711,-117730.383295,1thread_viterbi
500,8000,0.687750,0.000686,-134549.009480,1thread_viterbi
500,9000,0.784017,0.000789,-151367.635665,1thread_viterbi
500,10000,0.854716,0.000864,-168186.261850,1thread_viterbi
1000,100,0.017371,0.000002,-3291.300531,1thread_viterbi
1000,1000,0.170710,0.000009,-32913.005309,1thread_viterbi
1000,2000,0.347239,0.000047,-65826.010619,1thread_viterbi
1000,3000,0.539929,0.000501,-98739.015928,1thread_viterbi
1000,4000,0.686640,0.000662,-131652.021237,1thread_viterbi
1000,5000,0.861239,0.000999,-164565.026547,1thread_viterbi
1000,6000,1.026641,0.001081,-197478.031856,1thread_viterbi
1000,7000,1.191663,0.001256,-230391.037166,1thread_viterbi
1000,8000,1.375688,0.002089,-263304.042475,1thread_viterbi
1000,9000,1.549019,0.002109,-296217.047784,1thread_viterbi
1000,10000,1.699070,0.002368,-329130.053093,1thread_viterbi
