ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001680,0.000003,-394.312289,1thread_viterbi
100,1000,0.016669,0.000030,-3943.122885,1thread_viterbi
100,2000,0.034873,0.000063,-7886.245771,1thread_viterbi
100,3000,0.049565,0.000068,-11829.368656,1thread_viterbi
100,4000,0.067860,0.000108,-15772.491542,1thread_viterbi
100,5000,0.088753,0.000106,-19715.614427,1thread_viterbi
100,6000,0.099441,0.000115,-23658.737313,1thread_viterbi
100,7000,0.116809,0.000134,-27601.860198,1thread_viterbi
100,8000,0.135530,0.000151,-31544.983084,1thread_viterbi
100,9000,0.149027,0.000170,-35488.105969,1thread_viterbi
100,10000,0.165897,0.000186,-39431.228855,1thread_viterbi
500,100,0.008755,0.000001,-1681.862618,1thread_viterbi
500,1000,0.086660,0.000020,-16818.626185,1thread_viterbi
500,2000,0.173945,0.000151,-33637.252370,1thread_viterbi
500,3000,0.257497,0.000140,-50455.878555,1thread_viterbi
500,4000,0.347524,0.000154,-67274.504740,1thread_viterbi
500,5000,0.437787,0.000192,-84093.130925,1thread_viterbi
500,6000,0.519176,0.000284,-100911.757110,1thread_viterbi
500,7000,0.598563,0.000529,-117730.383295,1thread_viterbi
500,8000,0.688797,0.000602,-134549.009480,1thread_viterbi
500,9000,0.764751,0.001005,-151367.635665,1thread_viterbi
500,10000,0.860191,0.000757,-168186.261850,1thread_viterbi
1000,100,0.018264,0.000001,-3291.300531,1thread_viterbi
1000,1000,0.171884,0.000015,-32913.005309,1thread_viterbi
1000,2000,0.344573,0.000019,-65826.010619,1thread_viterbi
1000,3000,0.519105,0.000444,-98739.015928,1thread_viterbi
1000,4000,0.686382,0.000608,-131652.021237,1thread_viterbi
1000,5000,0.865936,0.001096,-164565.026547,1thread_viterbi
1000,6000,1.035262,0.001301,-197478.031856,1thread_viterbi
1000,7000,1.203102,0.001513,-230391.037166,1thread_viterbi
1000,8000,1.389848,0.001770,-263304.042475,1thread_viterbi
1000,9000,1.545378,0.001947,-296217.047784,1thread_viterbi
1000,10000,1.727213,0.002359,-329130.053093,1thread_viterbi
