ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001632,0.000003,-394.311890,1thread_viterbi
100,1000,0.016885,0.000033,-3943.085205,1thread_viterbi
100,2000,0.033440,0.000063,-7886.054199,1thread_viterbi
100,3000,0.050632,0.000069,-11829.023438,1thread_viterbi
100,4000,0.067100,0.000089,-15771.992188,1thread_viterbi
100,5000,0.082638,0.000116,-19714.960938,1thread_viterbi
100,6000,0.099284,0.000143,-23657.929688,1thread_viterbi
100,7000,0.118771,0.000139,-27600.898438,1thread_viterbi
100,8000,0.140794,0.000138,-31543.867188,1thread_viterbi
100,9000,0.146950,0.000182,-35486.835938,1thread_viterbi
100,10000,0.164000,0.000188,-39429.804688,1thread_viterbi
500,100,0.009021,0.000004,-1681.885620,1thread_viterbi
500,1000,0.087059,0.000006,-16818.085938,1thread_viterbi
500,2000,0.173309,0.000165,-33636.054688,1thread_viterbi
500,3000,0.257254,0.000127,-50454.023438,1thread_viterbi
500,4000,0.342451,0.000156,-67271.992188,1thread_viterbi
500,5000,0.440132,0.000190,-84089.960938,1thread_viterbi
500,6000,0.514158,0.000451,-100907.929688,1thread_viterbi
500,7000,0.607363,0.000518,-117725.898438,1thread_viterbi
500,8000,0.684075,0.000888,-134543.875000,1thread_viterbi
500,9000,0.777327,0.000957,-151361.843750,1thread_viterbi
500,10000,0.854961,0.001082,-168179.812500,1thread_viterbi
1000,100,0.017656,0.000006,-3291.288330,1thread_viterbi
1000,1000,0.175015,0.000037,-32911.835938,1thread_viterbi
1000,2000,0.345414,0.000115,-65823.554688,1thread_viterbi
1000,3000,0.515421,0.000447,-98735.273438,1thread_viterbi
1000,4000,0.685617,0.000601,-131647.000000,1thread_viterbi
1000,5000,0.868439,0.000810,-164558.718750,1thread_viterbi
1000,6000,1.025130,0.001285,-197470.437500,1thread_viterbi
1000,7000,1.206401,0.001537,-230382.156250,1thread_viterbi
1000,8000,1.390490,0.001744,-263305.031250,1thread_viterbi
1000,9000,1.553584,0.001974,-296536.281250,1thread_viterbi
1000,10000,1.708844,0.002188,-329767.531250,1thread_viterbi
