ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001630,0.000003,-394.311890,1thread_viterbi
100,1000,0.016565,0.000029,-3943.085205,1thread_viterbi
100,2000,0.032972,0.000063,-7886.054199,1thread_viterbi
100,3000,0.049325,0.000070,-11829.023438,1thread_viterbi
100,4000,0.065908,0.000092,-15771.992188,1thread_viterbi
100,5000,0.082192,0.000113,-19714.960938,1thread_viterbi
100,6000,0.097824,0.000113,-23657.929688,1thread_viterbi
100,7000,0.115397,0.000159,-27600.898438,1thread_viterbi
100,8000,0.131248,0.000146,-31543.867188,1thread_viterbi
100,9000,0.152663,0.000230,-35486.835938,1thread_viterbi
100,10000,0.167881,0.000186,-39429.804688,1thread_viterbi
500,100,0.008808,0.000003,-1681.885620,1thread_viterbi
500,1000,0.087058,0.000005,-16818.085938,1thread_viterbi
500,2000,0.174122,0.000119,-33636.054688,1thread_viterbi
500,3000,0.256572,0.000179,-50454.023438,1thread_viterbi
500,4000,0.344909,0.000298,-67271.992188,1thread_viterbi
500,5000,0.428307,0.000378,-84089.960938,1thread_viterbi
500,6000,0.517047,0.000479,-100907.929688,1thread_viterbi
500,7000,0.604665,0.000686,-117725.898438,1thread_viterbi
500,8000,0.687759,0.000667,-134543.875000,1thread_viterbi
500,9000,0.767984,0.000777,-151361.843750,1thread_viterbi
500,10000,0.859625,0.000833,-168179.812500,1thread_viterbi
1000,100,0.017753,0.000009,-3291.288330,1thread_viterbi
1000,1000,0.174538,0.000255,-32911.835938,1thread_viterbi
1000,2000,0.343110,0.000307,-65823.554688,1thread_viterbi
1000,3000,0.520630,0.000453,-98735.273438,1thread_viterbi
1000,4000,0.683062,0.000599,-131647.000000,1thread_viterbi
1000,5000,0.853406,0.000848,-164558.718750,1thread_viterbi
1000,6000,1.035852,0.000941,-197470.437500,1thread_viterbi
1000,7000,1.205771,0.001532,-230382.156250,1thread_viterbi
1000,8000,1.371825,0.001783,-263305.031250,1thread_viterbi
1000,9000,1.566117,0.001693,-296536.281250,1thread_viterbi
1000,10000,1.742157,0.001927,-329767.531250,1thread_viterbi
